"Guid","AboutMe","Alias","City","CommunityNickname","CompanyName","Country","DefaultGroupNotificationFrequency","Department","DigestFrequency","Division","Email","EmailEncodingKey","EmailPreferencesAutoBcc","EmailPreferencesAutoBccStayInTouch","EmailPreferencesStayInTouchReminder","EmployeeNumber","Extension","Fax","FederationIdentifier","FirstName","ForecastEnabled","GeocodeAccuracy","IsActive","LanguageLocaleKey","LastName","Latitude","LocaleSidKey","Longitude","ManagerId","MobilePhone","Phone","PostalCode","ReceivesAdminInfoEmails","ReceivesInfoEmails","SBQQ__DefaultProductLookupTab__c","SBQQ__DiagnosticToolEnabled__c","SBQQ__OutputFormatChangeAllowed__c","SBQQ__ProductSortPreference__c","SBQQ__ResetProductLookup__c","SBQQ__Theme__c","SenderEmail","SenderName","Signature","State","StayInTouchNote","StayInTouchSignature","StayInTouchSubject","Street","TimeZoneSidKey","Title","UserPermissionsAvantgoUser","UserPermissionsCallCenterAutoLogin","UserPermissionsInteractionUser","UserPermissionsKnowledgeUser","UserPermissionsMarketingUser","UserPermissionsOfflineUser","UserPermissionsSFContentUser","UserPermissionsSiteforceContributorUser","UserPermissionsSiteforcePublisherUser","UserPermissionsSupportUser","UserPermissionsWorkDotComUserFeature","UserPreferencesActivityRemindersPopup","UserPreferencesApexPagesDeveloperMode","UserPreferencesCacheDiagnostics","UserPreferencesContentEmailAsAndWhen","UserPreferencesContentNoEmail","UserPreferencesCreateLEXAppsWTShown","UserPreferencesDisCommentAfterLikeEmail","UserPreferencesDisMentionsCommentEmail","UserPreferencesDisProfPostCommentEmail","UserPreferencesDisableAllFeedsEmail","UserPreferencesDisableBookmarkEmail","UserPreferencesDisableChangeCommentEmail","UserPreferencesDisableEndorsementEmail","UserPreferencesDisableFileShareNotificationsForApi","UserPreferencesDisableFollowersEmail","UserPreferencesDisableLaterCommentEmail","UserPreferencesDisableLikeEmail","UserPreferencesDisableMentionsPostEmail","UserPreferencesDisableMessageEmail","UserPreferencesDisableProfilePostEmail","UserPreferencesDisableSharePostEmail","UserPreferencesEnableAutoSubForFeeds","UserPreferencesEventRemindersCheckboxDefault","UserPreferencesExcludeMailAppAttachments","UserPreferencesFavoritesShowTopFavorites","UserPreferencesFavoritesWTShown","UserPreferencesGlobalNavBarWTShown","UserPreferencesGlobalNavGridMenuWTShown","UserPreferencesHasCelebrationBadge","UserPreferencesHasSentWarningEmail","UserPreferencesHideBiggerPhotoCallout","UserPreferencesHideBrowseProductRedirectConfirmation","UserPreferencesHideCSNDesktopTask","UserPreferencesHideCSNGetChatterMobileTask","UserPreferencesHideChatterOnboardingSplash","UserPreferencesHideEndUserOnboardingAssistantModal","UserPreferencesHideLightningMigrationModal","UserPreferencesHideOnlineSalesAppWelcomeMat","UserPreferencesHideS1BrowserUI","UserPreferencesHideSecondChatterOnboardingSplash","UserPreferencesHideSfxWelcomeMat","UserPreferencesLightningExperiencePreferred","UserPreferencesNewLightningReportRunPageEnabled","UserPreferencesPathAssistantCollapsed","UserPreferencesPreviewCustomTheme","UserPreferencesPreviewLightning","UserPreferencesReceiveNoNotificationsAsApprover","UserPreferencesReceiveNotificationsAsDelegatedApprover","UserPreferencesRecordHomeReservedWTShown","UserPreferencesRecordHomeSectionCollapseWTShown","UserPreferencesReminderSoundOff","UserPreferencesReverseOpenActivitiesView","UserPreferencesSRHOverrideActivities","UserPreferencesShowCityToExternalUsers","UserPreferencesShowCityToGuestUsers","UserPreferencesShowCountryToExternalUsers","UserPreferencesShowCountryToGuestUsers","UserPreferencesShowEmailToExternalUsers","UserPreferencesShowEmailToGuestUsers","UserPreferencesShowFaxToExternalUsers","UserPreferencesShowFaxToGuestUsers","UserPreferencesShowForecastingChangeSignals","UserPreferencesShowManagerToExternalUsers","UserPreferencesShowManagerToGuestUsers","UserPreferencesShowMobilePhoneToExternalUsers","UserPreferencesShowMobilePhoneToGuestUsers","UserPreferencesShowPostalCodeToExternalUsers","UserPreferencesShowPostalCodeToGuestUsers","UserPreferencesShowProfilePicToGuestUsers","UserPreferencesShowStateToExternalUsers","UserPreferencesShowStateToGuestUsers","UserPreferencesShowStreetAddressToExternalUsers","UserPreferencesShowStreetAddressToGuestUsers","UserPreferencesShowTitleToExternalUsers","UserPreferencesShowTitleToGuestUsers","UserPreferencesShowWorkPhoneToExternalUsers","UserPreferencesShowWorkPhoneToGuestUsers","UserPreferencesSortFeedByComment","UserPreferencesSuppressEventSFXReminders","UserPreferencesSuppressTaskSFXReminders","UserPreferencesTaskRemindersCheckboxDefault","UserPreferencesUserDebugModePref","Username"
016bfe68-563a-4822-a428-1b492b4cd0e9,"#N/A",jaaga,"#N/A",User16512462348408704332,"#N/A","#N/A",N,"#N/A",D,"#N/A",jaagaard@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",J,false,"#N/A",true,en_US,Aagard,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,jaagaard@prodly.co.qa8new
0ecbbb5d-be7e-41d2-a7aa-1fd32ef7033f,"#N/A",rz,"#N/A",User16443338784161199586,"#N/A","#N/A",N,"#N/A",D,"#N/A",rzorzos@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Raf,false,"#N/A",true,en_US,Z,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,rzorzos@prodly.co.qa8
12be2886-c261-439d-b7fe-3af6c5d1134e,"#N/A",baksa,"#N/A",User16521144208247590144,"#N/A","#N/A",N,"#N/A",D,"#N/A",baksakal@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Bahtiyar,false,"#N/A",true,en_US,Aksakal,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,baksakal@prodly.co.qa8
14da69a7-d850-45ff-8f88-beb7e0e435e8,"#N/A",rwhee,"#N/A",User16270592437273350102,"#N/A","#N/A",N,"#N/A",D,"#N/A",rwheeler@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Robert,false,"#N/A",true,en_US,Wheeler,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,rwheeler@prodly.co.appopsqa8
16be0808-1536-4ed5-b374-6195d1499a64,"#N/A",sv,"#N/A",User16512461601899064032,"#N/A","#N/A",N,"#N/A",D,"#N/A",svlachakis@prodly.co,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Stavros,false,"#N/A",true,en_US,V,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,svlachakis@prodly.co.qa8
3b586705-14b0-4485-ac86-f7f937c68415,"#N/A",alaza,"#N/A",User16222209866456356069,"#N/A","#N/A",N,"#N/A",D,"#N/A",alazar@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Andreea,false,"#N/A",true,en_US,Lazar,"#N/A",en_US,"#N/A","#N/A",+357 96862077,"#N/A","#N/A",true,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,alazar@prodly.co.appopsqa8
4166c393-2d6c-4f20-b52b-f7b809246800,"#N/A",mshaikh,"#N/A",mshaikh,"#N/A","#N/A",N,"#N/A",D,"#N/A",mshaikh@prodly.co,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Asnaf,false,"#N/A",true,en_US,Shaikh,"#N/A",en_US,"#N/A","#N/A",+1 6473276415,"#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,mshaikh@prodly.co.qa8
557297f9-d76b-4e1c-978b-dbfe0579dc9b,"#N/A",DRudm,"#N/A",User16222206330963634971,AppOps QA8,US,N,"#N/A",D,"#N/A",drudman@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Daniel,true,"#N/A",true,en_US,Rudman,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,drudman@prodly.co.appopsqa8
5c7e4db5-4473-4f55-b310-9eed40e60f5a,"#N/A",mmala,"#N/A",User16366712528115203445,"#N/A","#N/A",N,"#N/A",D,"#N/A",mmalanowski@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Mark,false,"#N/A",true,en_US,Malanovski,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,mmalanowski@prodly.co.appopsqa8
65029356-9ada-4753-842f-d003a17964d5,"#N/A",tkyprian,"#N/A",tkyprianou,"#N/A","#N/A",N,"#N/A",D,"#N/A",tkyprianou@prodly.co.invalid,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Tziortzis,false,"#N/A",true,en_US,Kyprianou,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,tkyprianou@prodly.co.qa8
